"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x112616135","x1513305815343833088",2022-04-10 23:59:56,"setiyawan_andi","Teori BH iPhone itu ga tepat. Buktinya beli aipon ex inter di marketplace BHnya 100% 3utools full ijo <U+0001F44D>","Twitter for Android",124,,,,FALSE,TRUE,0,238,,,,,,,,,,,,,,,,"x3004551331","tanganbelang_tb","in",,,,,,,,,,,,,,,,"x1513135430538956803","Teori BH iPhone itu ga tepat. Buktinya beli aipon ex inter di marketplace BHnya 100% 3utools full ijo <U+0001F44D>",2022-04-10 12:42:53,"Twitter for Android",1805,238,"x3004551331","tanganbelang_tb","Bang TB - Dosis Kumplit AstraZeneca",22430,352,23660,"Indonesia","Di channel ini gw upload konten apa pun yg gw suka. subscribe dan nyalain lonceng notifikasi supaya ga ketinggalan video berikutnya <U+0001F447>",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/setiyawan_andi/status/1513305815343833088","setiyawan_andi","magelang","aktif baca pasif ngetwit",,FALSE,186,3168,0,1595,73,2010-02-09 04:00:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/112616135/1588901768","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1258670169695510529/V13aUy9S_normal.jpg"
"x1154221320235712512","x1513305800672165891",2022-04-10 23:59:53,"redcherl","Ini berlaku ga cuma ke iPhone aja btw, batere laptop, bater jam, or even HP Android sekalipun

Inget, mereka elektronik. Ada masa pakainya, gabisa kita expect untuk endure bertahun2 bisa tetap prima kayak waktu awal beli

Jadi ya kalo mau 100% terus, jadiin pajangan aja <U+0001F44D><U+0001F3FB>","Twitter for Android",140,,,,FALSE,TRUE,0,97,,,,,,,,,,,,,,,,"x105080250","ezash","in",,,,,,,,,,,,,,,,"x1513114095230148608","Ini berlaku ga cuma ke iPhone aja btw, batere laptop, bater jam, or even HP Android sekalipun

Inget, mereka elektronik. Ada masa pakainya, gabisa kita expect untuk endure bertahun2 bisa tetap prima kayak waktu awal beli

Jadi ya kalo mau 100% terus, jadiin pajangan aja <U+0001F44D><U+0001F3FB>",2022-04-10 11:18:07,"Twitter for iPhone",541,97,"x105080250","ezash","Eza Hazami || #WillOfThePeople",199520,378,156863,"Indonesia","Tweets are on my own • Talk about Works, Automotives, Games, Tech & Muse • Sering livestream di Youtube, sawer langsung ke https://t.co/jjTN5T3uI1",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/redcherl/status/1513305800672165891","Jeno' Mole (.<U+25DC><U+25E1><U+25DD>)<U+0001F352>","","INTP <U+0001F338> she/her <U+0001F3B6> Music is Life <U+0001F3A7> NCT <U+2649> Ssamdi <U+0001F319> BlooFla <U+0001F408> Keshi <U+0001F3C0> Junoflo",,FALSE,18,444,0,9409,6350,2019-07-25 02:46:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/1154221320235712512/1646064053",,"http://pbs.twimg.com/profile_images/1495733999897280516/Js55qBx2_normal.jpg"
"x1479089659875635200","x1513305797333245953",2022-04-10 23:59:52,"rmah52","$500 | 7 JUTA RUPIAH OR IPHONE SE 3 in 7 Days <U+0001F381>

RT &amp; Follow:
@TheDefiJedi
@yoyovisioncalls
@WATCHMANGANGNFT 
@Dimamentor https://t.co/N3M89fdccE","Twitter for Android",144,,,,FALSE,TRUE,0,28839,,,,,,,,,,,,,,,,"x1428688987259080704 x884568713982164992 x1509109332281069575 x1133507476844875777 x1499632173145591811","Alphawolf_1_ TheDefiJedi yoyovisioncalls WATCHMANGANGNFT Dimamentor","in",,,,,,,,,,,,,,,,"x1512596094491971596","$500 | 7 JUTA RUPIAH OR IPHONE SE 3 in 7 Days <U+0001F381>

RT &amp; Follow:
@TheDefiJedi
@yoyovisioncalls
@WATCHMANGANGNFT 
@Dimamentor https://t.co/N3M89fdccE",2022-04-09 00:59:46,"Twitter Web App",9275,28839,"x1428688987259080704","Alphawolf_1_","Crypto Alpha <U+0001F310>",185902,102,5550,"Worldwide <U+0001F30E>","#NFT & Crypto projects promoter || DM for Business inquiries <U+0001F4E9> || Winners <U+0001F3C6>: #CryptoAlphaVouch",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rmah52/status/1513305797333245953","<U+0631><U+0645><U+0627><U+062D>","","<U+0633><U+0628><U+062D><U+0627><U+0646> <U+0627><U+0644><U+0644><U+0647>  <U+0648><U+0628><U+062D><U+0645><U+062F><U+0629> <U+0646><U+0633><U+062A><U+0639><U+064A><U+0646> <U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0631><U+0628><U+0646><U+0627> <U+062A><U+0642><U+0628><U+0644> <U+0645><U+0646><U+0627> <U+0648><U+0645><U+0646><U+0643><U+0645> <U+0635><U+0627><U+0644><U+062D> <U+0627><U+0644><U+0627><U+0639><U+0645><U+0627><U+0644> <U+0648><U+0627><U+0644><U+062F><U+0639><U+0627><U+0621> <U+0001F339><U+0001F339><U+0001F339><U+0001F339><U+0001F339><U+0001F339>",,FALSE,15,1745,0,1592,276,2022-01-06 13:57:20,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1492502090253545478/-4gsiz4u_normal.jpg"
"x21836526","x1513305793013043201",2022-04-10 23:59:51,"_whymsycal","@ezash Iphone 6S ku wakakakakak.
Akhir tahun ini 7 tahun pemakaian. https://t.co/0dip55y7Xv","Twitter for iPhone",60,"x1513111907762245632","x105080250","ezash",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/FQBXl-saAAcSVah.jpg","https://t.co/0dip55y7Xv","https://twitter.com/_whymsycal/status/1513305793013043201/photo/1","photo","http://pbs.twimg.com/media/FQBXl-saAAcSVah.jpg","https://t.co/0dip55y7Xv","https://twitter.com/_whymsycal/status/1513305793013043201/photo/1",,"x105080250","ezash","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_whymsycal/status/1513305793013043201","<U+0001F430>","","Traveling enthusiast. Devoted food lover.",,FALSE,1031,744,17,31122,500,2009-02-25 04:29:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/21836526/1379810882","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/770440847837962240/nmca1o7l_normal.jpg"
"x21836526","x1513305349377298432",2022-04-10 23:58:05,"_whymsycal","iPhone tuh ya dipake, Battery Health turun ya namanya elektronik ada masa usianya juga kalo dipake lama2. Harusnya si common sense ya ehe

Kalo ndamau BH drop dari 100% ya dimasukin kotak, dipajang, dipandangin

Batere drop tinggal service, atau ya ganti HP baru sekalian 
#sikap","Twitter for iPhone",140,,,,FALSE,TRUE,0,3221,,,,,,,,,,,,,,,,"x105080250","ezash","in",,,,,,,,,,,,,,,,"x1513111907762245632","iPhone tuh ya dipake, Battery Health turun ya namanya elektronik ada masa usianya juga kalo dipake lama2. Harusnya si common sense ya ehe

Kalo ndamau BH drop dari 100% ya dimasukin kotak, dipajang, dipandangin

Batere drop tinggal service, atau ya ganti HP baru sekalian 
#sikap",2022-04-10 11:09:25,"Twitter for iPhone",13782,3221,"x105080250","ezash","Eza Hazami || #WillOfThePeople",199520,378,156863,"Indonesia","Tweets are on my own • Talk about Works, Automotives, Games, Tech & Muse • Sering livestream di Youtube, sawer langsung ke https://t.co/jjTN5T3uI1",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_whymsycal/status/1513305349377298432","<U+0001F430>","","Traveling enthusiast. Devoted food lover.",,FALSE,1031,744,17,31122,500,2009-02-25 04:29:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/21836526/1379810882","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/770440847837962240/nmca1o7l_normal.jpg"
"x1484898439813111809","x1513305671902638090",2022-04-10 23:59:22,"alhmdll3628240","$500 | 7 JUTA RUPIAH OR IPHONE SE 3 in 7 Days <U+0001F381>

RT &amp; Follow:
@TheDefiJedi
@yoyovisioncalls
@WATCHMANGANGNFT 
@Dimamentor https://t.co/N3M89fdccE","Twitter for iPhone",144,,,,FALSE,TRUE,0,28839,,,,,,,,,,,,,,,,"x1428688987259080704 x884568713982164992 x1509109332281069575 x1133507476844875777 x1499632173145591811","Alphawolf_1_ TheDefiJedi yoyovisioncalls WATCHMANGANGNFT Dimamentor","in",,,,,,,,,,,,,,,,"x1512596094491971596","$500 | 7 JUTA RUPIAH OR IPHONE SE 3 in 7 Days <U+0001F381>

RT &amp; Follow:
@TheDefiJedi
@yoyovisioncalls
@WATCHMANGANGNFT 
@Dimamentor https://t.co/N3M89fdccE",2022-04-09 00:59:46,"Twitter Web App",9275,28839,"x1428688987259080704","Alphawolf_1_","Crypto Alpha <U+0001F310>",185902,102,5550,"Worldwide <U+0001F30E>","#NFT & Crypto projects promoter || DM for Business inquiries <U+0001F4E9> || Winners <U+0001F3C6>: #CryptoAlphaVouch",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/alhmdll3628240/status/1513305671902638090","<U+0627><U+0644><U+062D><U+0645><U+062F> <U+0644><U+0644><U+0647>","","<U+064A><U+0627><U+0631><U+0628> <U+0001F64F><U+0001F3FB><U+0001F90D>",,FALSE,18,2743,0,2364,108,2022-01-22 14:39:21,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1484898636672737282/41EwC_1j_normal.jpg"
"x1411369716975771649","x1513305661056032769",2022-04-10 23:59:20,"woonvies","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO","Twitter for iPhone",143,,,,FALSE,TRUE,0,4409,,,,,,,,,,,,,,,,"x1459881181386735620","demenkarina","in",,,,,,,,,,,,,,,,"x1513116417473744896","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO",2022-04-10 11:27:20,"Twitter for Android",13550,4409,"x1459881181386735620","demenkarina","chæl <U+EA00> pls mt after dm",516,787,5524,"anypro ; homophobic dni","#<U+0001D402><U+0001D418><U+0001D401><U+0001D404><U+0001D411> ; remaja jompo jadi suka encok",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/woonvies/status/1513305661056032769","linZzzz","baca au","mmbaca terus sampai karakter au ku mnjadi nyata,,,,<U+0001F915><U+203C><U+FE0F><U+0001F932><U+0001F3FB>",,FALSE,6,254,0,4561,6861,2021-07-03 17:02:32,FALSE,,,,"https://pbs.twimg.com/profile_banners/1411369716975771649/1641478102",,"http://pbs.twimg.com/profile_images/1514711265595199495/5LU84xRK_normal.jpg"
"x1333303448876376066","x1513305648401838085",2022-04-10 23:59:17,"teajusaddict","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO","Twitter for Android",143,,,,FALSE,TRUE,0,4409,,,,,,,,,,,,,,,,"x1459881181386735620","demenkarina","in",,,,,,,,,,,,,,,,"x1513116417473744896","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO",2022-04-10 11:27:20,"Twitter for Android",13550,4409,"x1459881181386735620","demenkarina","chæl <U+EA00> pls mt after dm",516,787,5524,"anypro ; homophobic dni","#<U+0001D402><U+0001D418><U+0001D401><U+0001D404><U+0001D411> ; remaja jompo jadi suka encok",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/teajusaddict/status/1513305648401838085","SAER <U+0001F33C>","TGR","Hanya orang biasa yang banyak gabutnya","https://t.co/5AN8vdQXMJ",FALSE,1608,272,0,3098,843,2020-11-30 06:55:03,FALSE,"https://t.co/5AN8vdQXMJ","https://secreto.site/id/18703902",,"https://pbs.twimg.com/profile_banners/1333303448876376066/1638547325",,"http://pbs.twimg.com/profile_images/1479871665651601415/vlZRSsEC_normal.jpg"
"x1422545028","x1513305607926738945",2022-04-10 23:59:07,"asasunrise","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO","Twitter for Android",143,,,,FALSE,TRUE,0,4409,,,,,,,,,,,,,,,,"x1459881181386735620","demenkarina","in",,,,,,,,,,,,,,,,"x1513116417473744896","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO",2022-04-10 11:27:20,"Twitter for Android",13550,4409,"x1459881181386735620","demenkarina","chæl <U+EA00> pls mt after dm",516,787,5524,"anypro ; homophobic dni","#<U+0001D402><U+0001D418><U+0001D401><U+0001D404><U+0001D411> ; remaja jompo jadi suka encok",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/asasunrise/status/1513305607926738945","Asa<U+0001F431>","Bandung, Indonesia","talk about random things. mostly kdrama and kpop #teume
#happiness <U+0001F97A>
#SoundtrackNo1",,FALSE,940,148,4,25931,4543,2013-05-12 08:02:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1422545028/1644408677","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1507907761824096256/PUTg6vIK_normal.jpg"
"x1289845658619244544","x1513305555984605193",2022-04-10 23:58:55,"babynyanamjoon","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO","Twitter for iPhone",143,,,,FALSE,TRUE,0,4409,,,,,,,,,,,,,,,,"x1459881181386735620","demenkarina","in",,,,,,,,,,,,,,,,"x1513116417473744896","help rt pls &lt;3

ditemukan hp iphone di sekitaran setelah bale bengong ke arah utara (jogja), jatuh dijalan. bagi yang merasa kehilangan bisa dm aku yaa https://t.co/Cr0gFAqYRO",2022-04-10 11:27:20,"Twitter for Android",13550,4409,"x1459881181386735620","demenkarina","chæl <U+EA00> pls mt after dm",516,787,5524,"anypro ; homophobic dni","#<U+0001D402><U+0001D418><U+0001D401><U+0001D404><U+0001D411> ; remaja jompo jadi suka encok",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/babynyanamjoon/status/1513305555984605193","cipaa","","sedang stress dan stress","https://t.co/gGqQYuGvqb",FALSE,2256,2218,2,19118,9135,2020-08-02 08:50:02,FALSE,"https://t.co/gGqQYuGvqb","https://secreto.site/id/19476068",,,,"http://pbs.twimg.com/profile_images/1475122979700817924/DdosD-kX_normal.jpg"
